Id,product_name,categories_tags
1,"Pepsi, Nouveau goÃ»t !","en:beverages,fr:sodas-au-cola,en:sodas,en:carbonated-drinks"
2,Curiously Quality Strong Mints,fr:bonbons-a-la-menthe
3,VeloutÃ© de lÃ©gumes,"en:soups,en:meals"
4,Amandino blanches,
5,4 stonebread garlic breads,fr:pain-a-l-ail
6,British Maris Piper just bake chips,"fr:frites,en:chips-and-fries"
7,Saumon Atlantique FumÃ©,"fr:saumons-fumes,en:seafood,en:fishes,en:salmons,en:smoked-fishes"
8,Jus de pommes et de mangues pressÃ© non Ã  base de concentrÃ©,"en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,fr:jus-de-pomme-et-de-mangue"
9,Black Olive crackers,fr:crackers
10,Honey Roasted Cashews & Peanuts,fr:aperitif
11,Chicken Tikka Masala & Pilau Rice,
12,croustillant goÃ»t fromage,fr:gateaux-aperitifs
13,filets de cabillaud lÃ©gÃ¨rement panÃ©s de farine assaisonnÃ©e,
14,TurrÃ³n blando calidad suprema,"fr:nougats,fr:confiseries-de-france,en:candies"
15,Boisson au soja,en:beverages
16,"Chocolate Chunk, Milk Chocolate Macadamia",
17,Chocolate CHUNK white chocolate macadamia,
18,Oatmeal Raisin,"en:cakes,en:biscuits,en:cookies"
19,Pistachios,"fr:pistaches,en:nuts,fr:aperitif,en:dried-fruits"
20,Pistaches grillÃ©es sans sel Wonderful,"fr:pistaches,en:fruits,en:nuts,fr:pistaches-grillees-sans-sel,fr:aperitif,en:dried-fruits"
21,Vinaigre basalmique bio,"en:vinegars,en:balsamic-vinegars"
22,Foco basil seed drink,"en:beverages,en:sodas,en:carbonated-drinks"
23,Pate de curry vert,
24,Thon fumÃ©,"fr:thons-fumes,en:seafood,en:smoked-fishes,en:tunas,en:fishes"
25,Filet mignon de porc surgelÃ© Picard,"en:frozen-foods,fr:filet-mignon-de-porc"
26,Casino filet de merlan panÃ©,"fr:poissons-panes,en:breaded-products,en:meals"
27,Marpom's fraise,"fr:compotes,en:desserts"
28,16 Mini Blinis,"fr:blinis,fr:aperitif"
29,Fromage Frais nature,"fr:fromages-blancs,en:cheeses,en:dairies"
30,ComtÃ© AOP Bio Carrefour,"en:french-cheeses,en:cheeses,fr:comte-aop-bio,fr:fromages-labellises,fr:produits-aoc,fr:comte,en:fresh,fr:fromage-a-pate-pressee-cuite,en:labeled-products,en:dairies,fr:fromages-aoc,fr:bio"
31,2 PavÃ©s Grand Cru,en:meats
32,Huile d'Olive Vierge Extra Classico,"en:virgin-olive-oils,en:vegetable-oils,en:fats,en:vegetable-fats,en:olive-oils"
33,Gervais maxi framboise abricot,"fr:fromages-blancs,en:cheeses,en:dairies"
34,Dattes Deglet Nour,"fr:dattes,en:dried-fruits"
