row_idx	col_idx	log2ratio
1	1	-7
1	2	-6
1	3	-4
1	4	0
1	5	-5
1	6	-4
1	7	-4
1	8	-1
2	1	5
2	2	-5
2	3	9
2	4	9
2	5	-5
2	6	-4
2	7	-4
2	8	-1
3	1	-7
3	2	-5
3	3	-5
3	4	-4
3	5	-4
3	6	-3
3	7	-3
3	8	0
4	1	9
4	2	9
4	3	-5
4	4	-5
4	5	9
4	6	0
4	7	-4
4	8	-1
5	1	3
5	2	1
5	3	3
5	4	-4
5	5	0
5	6	2
5	7	1
5	8	1
6	1	-3
6	2	-4
6	3	0
6	4	-4
6	5	-3
6	6	-3
6	7	3
6	8	-1
7	1	-1
7	2	9
7	3	-6
7	4	-5
7	5	0
7	6	-4
7	7	-4
7	8	-1
8	1	-7
8	2	-6
8	3	-4
8	4	0
8	5	-5
8	6	-4
8	7	-3
8	8	-1
9	1	8
9	2	-6
9	3	-6
9	4	-5
9	5	-5
9	6	-4
9	7	-4
9	8	-1
10	1	9
10	2	9
10	3	-1
10	4	1
10	5	9
10	6	4
10	7	7
10	8	0
11	1	-3
11	2	0
11	3	-2
11	4	-4
11	5	-2
11	6	-2
11	7	-3
11	8	0
12	1	8
12	2	0
12	3	6
12	4	-3
12	5	7
12	6	8
12	7	2
12	8	1
13	1	-4
13	2	4
13	3	-5
13	4	-4
13	5	-2
13	6	-4
13	7	-3
13	8	0
14	1	9
14	2	0
14	3	1
14	4	-5
14	5	9
14	6	-4
14	7	-4
14	8	-1
15	1	-3
15	2	-1
15	3	0
15	4	5
15	5	-4
15	6	-4
15	7	-4
15	8	-1
16	1	8
16	2	-2
16	3	7
16	4	7
16	5	7
16	6	8
16	7	3
16	8	0
17	1	8
17	2	-2
17	3	0
17	4	0
17	5	9
17	6	9
17	7	2
17	8	0
18	1	6
18	2	0
18	3	8
18	4	9
18	5	1
18	6	0
18	7	6
18	8	0
19	1	9
19	2	9
19	3	0
19	4	-5
19	5	9
19	6	-4
19	7	-4
19	8	-1
20	1	9
20	2	9
20	3	0
20	4	-1
20	5	9
20	6	1
20	7	-4
20	8	-1
21	1	-5
21	2	-6
21	3	0
21	4	-5
21	5	-5
21	6	-4
21	7	-4
21	8	-1
22	1	-6
22	2	-6
22	3	-3
22	4	0
22	5	-5
22	6	-4
22	7	-4
22	8	-1
23	1	-4
23	2	-6
23	3	-3
23	4	-2
23	5	-2
23	6	-1
23	7	6
23	8	9
24	1	-2
24	2	9
24	3	-6
24	4	-5
24	5	-2
24	6	-4
24	7	-4
24	8	-1
25	1	-5
25	2	9
25	3	-6
25	4	-5
25	5	-4
25	6	-4
25	7	-4
25	8	-1
26	1	-1
26	2	5
26	3	-2
26	4	-4
26	5	-1
26	6	-2
26	7	-2
26	8	-1
27	1	-2
27	2	-5
27	3	3
27	4	-5
27	5	-5
27	6	-4
27	7	-4
27	8	-1
28	1	1
28	2	-1
28	3	1
28	4	-4
28	5	1
28	6	1
28	7	0
28	8	0
29	1	-6
29	2	-1
29	3	-5
29	4	-3
29	5	-3
29	6	-2
29	7	-4
29	8	-1
30	1	6
30	2	9
30	3	-6
30	4	-5
30	5	8
30	6	9
30	7	-1
30	8	0
31	1	-5
31	2	9
31	3	-6
31	4	-5
31	5	-4
31	6	-4
31	7	-4
31	8	-1
32	1	9
32	2	-6
32	3	-6
32	4	-5
32	5	9
32	6	8
32	7	-4
32	8	-1
33	1	-5
33	2	0
33	3	-4
33	4	0
33	5	-4
33	6	-3
33	7	-4
33	8	-1
34	1	2
34	2	-5
34	3	8
34	4	9
34	5	-5
34	6	-4
34	7	9
34	8	-1
35	1	8
35	2	-1
35	3	6
35	4	-5
35	5	7
35	6	-4
35	7	-4
35	8	-1
36	1	2
36	2	1
36	3	6
36	4	5
36	5	-3
36	6	-4
36	7	3
36	8	9
37	1	9
37	2	9
37	3	-1
37	4	-5
37	5	9
37	6	-4
37	7	-4
37	8	-1
38	1	6
38	2	-6
38	3	9
38	4	9
38	5	-2
38	6	1
38	7	-4
38	8	-1
39	1	-5
39	2	-3
39	3	-3
39	4	1
39	5	-3
39	6	-2
39	7	-1
39	8	-1
40	1	-7
40	2	-4
40	3	-5
40	4	-4
40	5	-5
40	6	-4
40	7	-4
40	8	-1
41	1	8
41	2	1
41	3	8
41	4	2
41	5	3
41	6	2
41	7	9
41	8	-1
42	1	-7
42	2	-6
42	3	-4
42	4	0
42	5	-5
42	6	-4
42	7	-4
42	8	-1
43	1	-7
43	2	-6
43	3	-5
43	4	-5
43	5	-5
43	6	-4
43	7	-4
43	8	-1
44	1	8
44	2	-1
44	3	6
44	4	-5
44	5	7
44	6	-4
44	7	-4
44	8	-1
45	1	-7
45	2	-6
45	3	-4
45	4	0
45	5	-5
45	6	-4
45	7	-4
45	8	-1
46	1	-6
46	2	-4
46	3	-5
46	4	-2
46	5	-4
46	6	-4
46	7	-3
46	8	-1
47	1	5
47	2	-5
47	3	-6
47	4	-5
47	5	9
47	6	9
47	7	-4
47	8	-1
48	1	4
48	2	-6
48	3	9
48	4	9
48	5	-5
48	6	-4
48	7	-4
48	8	-1
49	1	7
49	2	-1
49	3	9
49	4	5
49	5	0
49	6	-1
49	7	5
49	8	0
50	1	-7
50	2	-6
50	3	-4
50	4	0
50	5	-5
50	6	-4
50	7	-4
50	8	-1
51	1	4
51	2	-6
51	3	9
51	4	-5
51	5	-2
51	6	-4
51	7	-1
51	8	-1
52	1	0
52	2	5
52	3	4
52	4	0
52	5	-4
52	6	-4
52	7	9
52	8	8
53	1	-7
53	2	-6
53	3	-4
53	4	0
53	5	-5
53	6	-4
53	7	-4
53	8	-1
54	1	1
54	2	-5
54	3	6
54	4	2
54	5	-5
54	6	-4
54	7	-4
54	8	9
55	1	-7
55	2	-6
55	3	-6
55	4	-4
55	5	-5
55	6	-4
55	7	-4
55	8	1
56	1	-8
56	2	-6
56	3	-6
56	4	-5
56	5	-5
56	6	-4
56	7	-3
56	8	-1
57	1	-8
57	2	-6
57	3	-6
57	4	-5
57	5	-5
57	6	-4
57	7	-3
57	8	-1
58	1	-1
58	2	-4
58	3	-5
58	4	-5
58	5	3
58	6	-4
58	7	-4
58	8	-1
59	1	-6
59	2	-5
59	3	-3
59	4	-4
59	5	-5
59	6	-4
59	7	-4
59	8	-1
60	1	-8
60	2	-6
60	3	-6
60	4	-5
60	5	-5
60	6	-4
60	7	-4
60	8	-1
61	1	0
61	2	-2
61	3	0
61	4	-5
61	5	0
61	6	-4
61	7	-4
61	8	-1
62	1	5
62	2	-6
62	3	9
62	4	-5
62	5	-5
62	6	-4
62	7	-4
62	8	-1
63	1	-5
63	2	-3
63	3	-3
63	4	-3
63	5	-3
63	6	-4
63	7	1
63	8	0
64	1	5
64	2	4
64	3	9
64	4	-3
64	5	-4
64	6	-4
64	7	-1
64	8	-1
65	1	-5
65	2	0
65	3	-4
65	4	-4
65	5	-3
65	6	-4
65	7	-3
65	8	0
66	1	-3
66	2	-2
66	3	-3
66	4	-4
66	5	-1
66	6	-1
66	7	1
66	8	0
67	1	4
67	2	4
67	3	8
67	4	-3
67	5	-3
67	6	-3
67	7	0
67	8	0
68	1	-6
68	2	-6
68	3	-4
68	4	-1
68	5	-4
68	6	-4
68	7	-4
68	8	-1
69	1	-4
69	2	0
69	3	-6
69	4	-3
69	5	0
69	6	3
69	7	-4
69	8	-1
70	1	-3
70	2	-1
70	3	-2
70	4	-4
70	5	-2
70	6	-3
70	7	7
70	8	0
71	1	-7
71	2	-5
71	3	-6
71	4	-4
71	5	-5
71	6	-4
71	7	-2
71	8	0
72	1	5
72	2	5
72	3	8
72	4	-4
72	5	-4
72	6	-3
72	7	0
72	8	-1
73	1	-6
73	2	-6
73	3	-4
73	4	0
73	5	-5
73	6	-4
73	7	-4
73	8	-1
74	1	0
74	2	0
74	3	4
74	4	-3
74	5	-3
74	6	-4
74	7	6
74	8	0
75	1	1
75	2	5
75	3	-3
75	4	-2
75	5	2
75	6	2
75	7	-3
75	8	0
76	1	3
76	2	2
76	3	-6
76	4	-5
76	5	7
76	6	-4
76	7	-4
76	8	-1
77	1	-5
77	2	-4
77	3	-3
77	4	0
77	5	-4
77	6	-2
77	7	-3
77	8	-1
78	1	9
78	2	-6
78	3	-6
78	4	-5
78	5	9
78	6	8
78	7	-4
78	8	0
79	1	-7
79	2	-5
79	3	-5
79	4	-4
79	5	-4
79	6	-4
79	7	-1
79	8	0
80	1	0
80	2	-6
80	3	9
80	4	-5
80	5	-5
80	6	-4
80	7	-4
80	8	-1
81	1	-7
81	2	3
81	3	-6
81	4	-5
81	5	2
81	6	-1
81	7	-3
81	8	0
82	1	8
82	2	3
82	3	5
82	4	-5
82	5	7
82	6	-4
82	7	-4
82	8	-1
83	1	-3
83	2	-2
83	3	-1
83	4	-5
83	5	-1
83	6	-4
83	7	-4
83	8	-1
84	1	7
84	2	-1
84	3	8
84	4	8
84	5	2
84	6	1
84	7	-1
84	8	0
85	1	-7
85	2	-6
85	3	-4
85	4	-1
85	5	-5
85	6	-4
85	7	-3
85	8	-1
86	1	-1
86	2	6
86	3	-5
86	4	-5
86	5	1
86	6	-4
86	7	-4
86	8	-1
87	1	4
87	2	-6
87	3	9
87	4	9
87	5	-5
87	6	-4
87	7	-4
87	8	-1
88	1	-3
88	2	9
88	3	-6
88	4	-4
88	5	-1
88	6	-2
88	7	0
88	8	1
89	1	-6
89	2	-4
89	3	0
89	4	5
89	5	1
89	6	5
89	7	-3
89	8	-1
90	1	1
90	2	0
90	3	5
90	4	-3
90	5	-3
90	6	-4
90	7	-1
90	8	0
91	1	-2
91	2	-1
91	3	2
91	4	-4
91	5	-4
91	6	-4
91	7	0
91	8	1
92	1	7
92	2	0
92	3	8
92	4	4
92	5	3
92	6	7
92	7	-1
92	8	0
93	1	0
93	2	-3
93	3	0
93	4	5
93	5	2
93	6	5
93	7	-3
93	8	-1
94	1	1
94	2	-3
94	3	0
94	4	-5
94	5	2
94	6	-4
94	7	-4
94	8	0
95	1	-7
95	2	-1
95	3	-1
95	4	-3
95	5	-2
95	6	-2
95	7	-1
95	8	0
96	1	8
96	2	0
96	3	7
96	4	8
96	5	4
96	6	8
96	7	0
96	8	0
97	1	-6
97	2	-4
97	3	-4
97	4	-5
97	5	-5
97	6	-4
97	7	-4
97	8	-1
98	1	-7
98	2	-6
98	3	-6
98	4	-4
98	5	-5
98	6	-4
98	7	-3
98	8	-1
99	1	-6
99	2	-6
99	3	-4
99	4	0
99	5	-5
99	6	-4
99	7	0
99	8	-1
100	1	-7
